@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-V-R8,21,26,27,31,36,44,53,54,56,59,63,68,91,102,119,120,122,124,125,128,141,216,224,254,300,334,335,337,339,341,342,347,358,367,376,377,381,396,414,415,420,433,434,441,451,455,465,466,469,474,489,490,492,494,498,519,536,540,560,561,562,567,579,598,600,606,614,617,624,625,640,646,654,663,675,679,681,693,694,695,738,744,751,752,755,760,764,767,779,786,788,789,793,795,797,807,815,836,837,852,858,862,865,873,906,919,921,926,931,935,941,942,948,950,959,961,964,975,995,997,1000,1004,1006,1015,1016,1047,1051,1052,1060,1098,1107,1109,1113,1117,1137,1138,1139,1170,1188,1198,1200,1204,1208,1210,1230,1238,1239,1248,1250,1251,1260,1280,1309'

@attribute pcm_intensity_sma_linregc2 numeric
@attribute pcm_loudness_sma_min numeric
@attribute pcm_loudness_sma_linregc1 numeric
@attribute pcm_loudness_sma_linregc2 numeric
@attribute pcm_loudness_sma_skewness numeric
@attribute pcm_loudness_sma_iqr1-2 numeric
@attribute mfcc_sma[1]_amean numeric
@attribute mfcc_sma[1]_quartile2 numeric
@attribute mfcc_sma[1]_quartile3 numeric
@attribute mfcc_sma[1]_iqr2-3 numeric
@attribute mfcc_sma[2]_min numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[2]_stddev numeric
@attribute mfcc_sma[3]_quartile2 numeric
@attribute mfcc_sma[4]_linregc1 numeric
@attribute mfcc_sma[5]_minPos numeric
@attribute mfcc_sma[5]_amean numeric
@attribute mfcc_sma[5]_linregc2 numeric
@attribute mfcc_sma[5]_linregerrQ numeric
@attribute mfcc_sma[5]_stddev numeric
@attribute mfcc_sma[5]_quartile1 numeric
@attribute mfcc_sma[6]_linregc2 numeric
@attribute mfcc_sma[10]_linregc1 numeric
@attribute mfcc_sma[10]_quartile2 numeric
@attribute mfcc_sma[12]_linregc1 numeric
@attribute lspFreq_sma[1]_quartile2 numeric
@attribute lspFreq_sma[3]_stddev numeric
@attribute lspFreq_sma[3]_skewness numeric
@attribute lspFreq_sma[3]_quartile1 numeric
@attribute lspFreq_sma[3]_quartile3 numeric
@attribute lspFreq_sma[3]_iqr2-3 numeric
@attribute lspFreq_sma[3]_iqr1-3 numeric
@attribute lspFreq_sma[4]_minPos numeric
@attribute lspFreq_sma[4]_quartile3 numeric
@attribute lspFreq_sma[5]_amean numeric
@attribute lspFreq_sma[5]_quartile2 numeric
@attribute lspFreq_sma[5]_quartile3 numeric
@attribute lspFreq_sma[6]_max numeric
@attribute lspFreq_sma[6]_quartile3 numeric
@attribute lspFreq_sma[7]_quartile2 numeric
@attribute lspFreq_sma[7]_quartile3 numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_quartile2 numeric
@attribute pcm_zcr_sma_quartile3 numeric
@attribute voiceProb_sma_maxPos numeric
@attribute voiceProb_sma_quartile1 numeric
@attribute voiceProb_sma_iqr2-3 numeric
@attribute F0_sma_linregerrA numeric
@attribute F0_sma_linregerrQ numeric
@attribute F0_sma_kurtosis numeric
@attribute F0_sma_iqr2-3 numeric
@attribute F0env_sma_quartile1 numeric
@attribute F0env_sma_quartile2 numeric
@attribute F0env_sma_iqr1-2 numeric
@attribute F0env_sma_iqr1-3 numeric
@attribute pcm_intensity_sma_de_maxPos numeric
@attribute pcm_loudness_sma_de_amean numeric
@attribute mfcc_sma_de[1]_maxPos numeric
@attribute mfcc_sma_de[1]_linregc2 numeric
@attribute mfcc_sma_de[2]_linregerrA numeric
@attribute mfcc_sma_de[2]_linregerrQ numeric
@attribute mfcc_sma_de[2]_stddev numeric
@attribute mfcc_sma_de[2]_quartile3 numeric
@attribute mfcc_sma_de[3]_linregerrA numeric
@attribute mfcc_sma_de[4]_linregerrA numeric
@attribute mfcc_sma_de[4]_stddev numeric
@attribute mfcc_sma_de[4]_iqr1-2 numeric
@attribute mfcc_sma_de[5]_amean numeric
@attribute mfcc_sma_de[5]_linregerrA numeric
@attribute mfcc_sma_de[5]_quartile3 numeric
@attribute mfcc_sma_de[5]_iqr1-2 numeric
@attribute mfcc_sma_de[6]_kurtosis numeric
@attribute mfcc_sma_de[6]_iqr1-3 numeric
@attribute mfcc_sma_de[7]_linregc2 numeric
@attribute mfcc_sma_de[7]_iqr1-2 numeric
@attribute mfcc_sma_de[8]_linregerrQ numeric
@attribute mfcc_sma_de[8]_quartile1 numeric
@attribute mfcc_sma_de[8]_quartile3 numeric
@attribute mfcc_sma_de[9]_linregerrA numeric
@attribute mfcc_sma_de[9]_linregerrQ numeric
@attribute mfcc_sma_de[9]_stddev numeric
@attribute mfcc_sma_de[11]_quartile3 numeric
@attribute mfcc_sma_de[12]_range numeric
@attribute mfcc_sma_de[12]_linregerrQ numeric
@attribute mfcc_sma_de[12]_stddev numeric
@attribute mfcc_sma_de[12]_quartile1 numeric
@attribute mfcc_sma_de[12]_iqr1-3 numeric
@attribute lspFreq_sma_de[0]_maxPos numeric
@attribute lspFreq_sma_de[0]_linregc1 numeric
@attribute lspFreq_sma_de[0]_iqr1-3 numeric
@attribute lspFreq_sma_de[1]_linregc1 numeric
@attribute lspFreq_sma_de[1]_linregerrA numeric
@attribute lspFreq_sma_de[1]_linregerrQ numeric
@attribute lspFreq_sma_de[1]_quartile1 numeric
@attribute lspFreq_sma_de[1]_quartile3 numeric
@attribute lspFreq_sma_de[1]_iqr2-3 numeric
@attribute lspFreq_sma_de[2]_linregerrA numeric
@attribute lspFreq_sma_de[2]_iqr1-2 numeric
@attribute lspFreq_sma_de[3]_iqr1-3 numeric
@attribute lspFreq_sma_de[4]_max numeric
@attribute lspFreq_sma_de[4]_quartile3 numeric
@attribute lspFreq_sma_de[5]_range numeric
@attribute lspFreq_sma_de[5]_linregc1 numeric
@attribute lspFreq_sma_de[5]_linregerrQ numeric
@attribute lspFreq_sma_de[5]_iqr2-3 numeric
@attribute lspFreq_sma_de[7]_kurtosis numeric
@attribute pcm_zcr_sma_de_linregc1 numeric
@attribute pcm_zcr_sma_de_linregerrA numeric
@attribute pcm_zcr_sma_de_quartile1 numeric
@attribute pcm_zcr_sma_de_iqr1-3 numeric
@attribute voiceProb_sma_de_maxPos numeric
@attribute voiceProb_sma_de_linregerrQ numeric
@attribute voiceProb_sma_de_stddev numeric
@attribute voiceProb_sma_de_iqr1-2 numeric
@attribute voiceProb_sma_de_iqr1-3 numeric
@attribute F0_sma_de_linregerrA numeric
@attribute F0_sma_de_stddev numeric
@attribute F0_sma_de_quartile1 numeric
@attribute F0env_sma_de_amean numeric
@attribute f0SDev numeric
@attribute f0kurtx numeric
@attribute f0Varx numeric
@attribute f0Ampmeanx numeric
@attribute f0Ampqmeanx numeric
@attribute LHRate numeric
@attribute LHRate2 numeric
@attribute f0deltameanx numeric
@attribute f0deltaskewx numeric
@attribute f0deltakurtx numeric
@attribute f0AmpDeltaskewx numeric
@attribute StepUrmsx numeric
@attribute StepOmeanx numeric
@attribute StepOqmeanx numeric
@attribute StepOSDev numeric
@attribute StepAmeanx numeric
@attribute StepImeanx numeric
@attribute StepIrmsx numeric
@attribute StepIqmeanx numeric
@attribute StepAdeltaskewx numeric
@attribute StepIdeltarmsx numeric
@attribute f0Delta2rmsx numeric
@attribute f0Delta2SDev numeric
@attribute f0AmpDelta2Maxx numeric
@attribute f0AmpDelta2rmsx numeric
@attribute f0AmpDelta2skewx numeric
@attribute LH2Delta2skewx numeric
@attribute LH3Delta2rmsx numeric
@attribute LH3Delta2qmeanx numeric
@attribute StepUDelta2rmsx numeric
@attribute StepUDelta2skewx numeric
@attribute StepUDelta2kurtx numeric
@attribute StepODelta2skewx numeric
@attribute StepU2Delta2skewx numeric
@attribute emotion {A,N,H,S,B,D,F}

@data

0.000009,0.026816,-0.003894,1.253335,0.536272,0.534725,-21.04889,-22.37243,-13.89392,8.478507,-55.66986,-15.67066,17.2003,-5.597565,0.121818,14,-6.414972,-18.06926,373.2175,20.47134,-20.60165,-30.70753,0.030932,-10.82849,0.009962,0.697447,0.150275,0.412832,1.298928,1.497119,0.115068,0.198191,40,1.751508,1.926785,1.935832,1.996332,2.614239,2.396942,2.564374,2.650013,0.001667,0.1425,0.202708,48,0.516885,0.111921,107.0695,16790.59,2.075077,55.77069,255.1958,306.7408,51.54495,89.80634,32,0.000052,112,-0.017813,3.704617,19.99875,4.499078,3.309866,2.852613,2.84661,3.645622,2.082133,0.065185,4.305106,3.429614,4.112023,3.360687,7.539295,-0.541309,3.113643,34.8042,-4.089942,4.261908,3.411046,17.47162,4.211141,2.474549,23.92283,23.34729,4.836406,-2.935894,6.223137,103,-0.000073,0.03829,0.000075,0.029857,0.001594,-0.020979,0.017538,0.020555,0.032694,0.027167,0.045311,0.078484,0.019168,0.11817,0.000087,0.000808,0.021156,3.151695,-0.000051,0.021874,-0.016688,0.031896,111,0.003222,0.057405,0.021859,0.051515,22.65758,35.29295,-8.395813,1.785414,46.25,-0.74,2139.15,161.81,1.44,1.94,0.46,-0.34,2.32,2.81,2.74,5.69,155.79,1.01,137.59,176.34,297.45,12.79,1.51,2.6,3.9,0.16,9028.35,15.16,0.11,2.27,2.48,133.87,1,1.21,7.49,55.18,3.36,2.53,A
0.00002,0.035943,0.00063,1.48987,0.957487,0.723229,-24.82734,-26.28082,-16.4945,9.786314,-54.42386,-23.70268,18.61301,-6.207093,0.038654,12,-8.330147,-18.24909,355.3604,19.71188,-20.83249,-21.90278,0.000818,-1.836933,0.005398,0.714798,0.141329,0.836245,1.262563,1.424927,0.088864,0.162365,41,1.751783,1.926648,1.91939,2.011692,2.585563,2.370378,2.529927,2.634579,0.0225,0.18875,0.234167,50,0.552702,0.136074,130.2553,23728.45,2.045682,106.1415,310.6874,381.965,71.27759,102.7773,132,0.00005,37,-0.365925,3.862303,23.84476,4.908666,3.277121,2.532913,3.655407,4.476702,3.059412,-0.084312,3.920011,3.399682,2.525643,4.732137,5.295157,-0.084087,2.094019,22.29427,-3.199104,2.689993,3.281607,17.46427,4.200626,3.409749,24.35174,19.60931,4.428283,-2.918189,5.577814,152,-0.00006,0.041859,0.000025,0.026156,0.001227,-0.020112,0.020126,0.018357,0.025261,0.022822,0.040219,0.129261,0.021766,0.175826,0.000045,0.001012,0.018102,3.88075,-0.000074,0.019338,-0.011375,0.024333,120,0.003612,0.060269,0.028674,0.054246,32.36335,46.67622,-19.38823,2.132956,65.57,-0.87,4299.73,241.23,2.05,0.8,0.24,-0.72,1.84,0.61,2.1,6.88,148.11,0.76,154.5,328.57,491.75,21.19,2.25,2.23,6.83,0.22,20442.37,22.02,0.24,1.66,2.36,766.4,1,1.35,5.52,28.71,2.57,1.81,A
0.000005,0.041525,-0.001439,0.911081,1.171626,0.32398,-19.26127,-21.47105,-12.22091,9.250141,-58.20325,-14.38038,17.58427,-3.212842,0.059335,49,-8.994822,-12.65669,496.7794,22.3897,-28.30043,-19.52343,0.055129,1.773921,-0.05982,0.716895,0.142173,-0.344659,1.215673,1.452582,0.08727,0.236909,121,1.760744,1.92189,1.891677,2.024277,2.556962,2.411602,2.609764,2.680522,0,0.118333,0.183333,38,0.458521,0.169842,118.4004,19497.46,1.856892,79.7953,259.0984,348.6303,89.53198,123.9027,118,-0.000002,33,-0.073694,3.104911,17.85629,4.246336,2.005659,2.574997,2.988829,3.988828,2.260596,-0.020719,3.117635,2.302686,2.206433,4.073651,4.979438,-0.186461,2.428247,20.94794,-2.374238,2.939212,3.339091,18.30671,4.282111,2.959421,23.32973,14.72466,3.843779,-2.128064,4.051656,73,-0.00004,0.029539,0.000038,0.027596,0.00136,-0.020458,0.017258,0.015153,0.020546,0.015202,0.047054,0.089047,0.017817,0.212382,0.000071,0.001522,0.015857,3.351507,-0.000029,0.017277,-0.00825,0.02175,33,0.004399,0.066553,0.03759,0.075946,27.06363,42.25373,-11.99689,1.285565,54.37,-0.51,2956.53,178.78,1.4,7.05,0.77,-2.74,1.79,0.45,1.99,6.64,92.09,0.5,104.21,125.93,151.2,5.97,0.98,1.97,1.74,0.17,11038.48,38.99,0.2,1.75,2.41,59.04,16.68,1.37,3.51,9.73,2.37,2.04,A
0.000011,0.019932,-0.000908,1.325319,0.895721,0.487021,-19.87445,-22.67217,-14.49244,8.179731,-62.2655,-21.03143,20.83957,-14.04547,0.124238,21,-8.320406,-2.94893,333.3368,18.52201,-23.61478,-15.78778,-0.07886,-6.679365,-0.090416,0.645118,0.130368,-0.076962,1.189437,1.398029,0.11933,0.208592,55,1.758626,1.969224,1.971274,2.065027,2.538269,2.421851,2.518317,2.635027,0.0175,0.1525,0.184167,61,0.594327,0.121461,130.2403,21394.21,1.949523,70.24774,304.5865,355.4268,50.8403,85.33917,136,-0.000121,150,0.132434,3.395982,18.52,4.310651,2.626977,2.807662,2.77404,3.296832,2.826561,0.049576,4.306967,3.735335,3.291352,2.428916,7.836582,0.112224,2.150121,22.24618,-3.179339,2.229394,3.316294,17.11384,4.16014,3.193446,29.6469,28.80999,5.367507,-2.848752,5.649981,71,0.000034,0.032245,0.000039,0.03298,0.001851,-0.02336,0.028799,0.028749,0.027386,0.021919,0.042684,0.099541,0.01333,0.176975,0.000054,0.000887,0.017709,3.238596,0,0.01829,-0.011042,0.021333,102,0.003065,0.055552,0.031575,0.061437,23.19611,38.95111,-6.377679,1.251665,64.65,5.63,4180.16,210.8,1.75,0.75,0.5,-0.11,1.88,0.74,2.08,6.55,138.68,0.48,175.12,371.41,389.82,18.03,1.63,1.8,4.1,0.19,15658.51,30.11,0.2,1.83,2.24,901.96,219.39,1.31,3.18,7.41,2.82,1.72,A
0.00002,0.061052,-0.001069,1.600946,0.930216,0.566924,-20.15478,-17.74403,-8.54316,9.200866,-56.5859,-13.56496,14.58801,-9.222679,0.015303,152,-9.194374,-3.845541,261.8393,16.47552,-22.01619,-20.85316,0.035666,-5.63772,0.011671,0.686024,0.163699,0.346289,1.265991,1.459521,0.101723,0.19353,88,1.790487,1.963808,1.947566,2.062456,2.628189,2.426273,2.622215,2.68467,0.008333,0.119167,0.201667,203,0.464019,0.093979,125.3949,20733.66,1.817411,61.1524,277.7135,322.0231,44.30954,70.47629,228,0.000133,27,0.026278,3.286464,17.68935,4.208865,2.83711,3.77891,3.171133,3.954044,2.69633,-0.032492,3.480582,2.652054,2.9243,3.328759,5.654681,-0.43895,2.284442,31.20939,-3.009208,3.199738,3.291038,17.3763,4.182822,3.084511,30.42977,20.72322,4.55601,-2.750317,5.8247,157,-0.000017,0.047653,0.000017,0.035596,0.00203,-0.030917,0.026767,0.024806,0.03828,0.02492,0.051697,0.083538,0.015786,0.21595,0.000014,0.001399,0.021748,5.437628,-0.000023,0.024633,-0.013292,0.027708,52,0.004401,0.066345,0.03621,0.059513,23.99505,36.17377,-12.87967,0.95327,54.53,-0.49,2973.04,305.98,2.56,4.36,1.09,-1.83,2.13,1.99,3.38,11.64,287.75,1.07,376.44,326.68,219.17,10.01,0.9,2.54,3.2,0.16,24559.09,60.8,0.27,2.09,2.21,380.16,73.31,2.22,5.02,23.65,2.22,2.31,A
-0.000001,0.02716,0.002743,0.734698,0.977788,0.435249,-21.28946,-23.24958,-9.514779,13.73481,-59.43113,-9.543295,20.76365,-7.500863,-0.028004,39,-8.006237,-17.24242,223.9601,15.89529,-18.49278,-20.26142,0.001296,-1.443507,0.027645,0.643816,0.155387,0.342407,1.258266,1.521268,0.166471,0.263002,84,1.808929,1.971496,1.969962,2.084097,2.627227,2.467521,2.550242,2.686594,0.0125,0.130417,0.202708,52,0.650798,0.073938,135.4602,25481.89,2.01891,105.8851,315.1516,413.3776,98.22607,125.9111,180,-0.000002,156,-0.028782,3.117158,16.23739,4.038348,2.395837,2.856615,3.619259,4.545874,3.200069,0.013115,3.1892,2.821359,3.003233,3.195439,5.477727,-0.673959,2.392674,29.35609,-3.771678,3.526079,3.763665,20.50948,4.534269,3.037649,28.36601,21.64836,4.65278,-2.498129,5.183372,162,-0.000044,0.031834,0.000033,0.03838,0.002716,-0.026583,0.025897,0.023529,0.028803,0.02332,0.043074,0.093639,0.013978,0.177897,0.000026,0.001114,0.019483,4.145785,-0.00004,0.020979,-0.011667,0.022792,131,0.003164,0.056793,0.021966,0.047385,29.44033,46.2595,-10.3486,0.804612,85.27,-0.92,7270.72,275.38,2.46,1.29,1.14,-1.02,1.86,0.75,2.04,8.17,83.25,0.38,90.88,205.95,222.96,12.09,0.48,2.27,3.28,0.25,37981.18,60.45,0.31,1.93,2.33,621.08,46.17,1.8,2.89,5.64,2.86,1.92,A
0.000012,0,0.000731,0.988204,0.985134,0.567962,-19.24241,-17.2893,-5.798437,11.49086,-49.62523,-6.001003,14.44383,1.814396,-0.013175,63,-12.23942,-9.157812,361.0726,19.08553,-27.85772,-10.6977,0.007843,-0.466038,0.034261,0.753735,0.169893,0.111597,1.21423,1.479752,0.114396,0.265522,222,1.809464,1.985409,1.989926,2.094481,2.59357,2.443413,2.630641,2.700187,0.0025,0.11,0.264167,156,0.291391,0.127167,118.1318,17839.76,1.697815,57.16689,245.5018,291.4728,45.97105,86.41823,156,0.000378,59,-0.247001,2.652967,12.99195,3.606579,2.037604,2.606529,3.024164,3.954308,2.273964,0.030718,3.318198,2.659782,2.452853,3.061951,5.119397,-0.057959,2.137112,25.29327,-2.992286,3.077811,3.323353,19.14255,4.37722,2.779899,23.96388,16.73497,4.091362,-2.152277,4.466209,257,-0.000014,0.03707,0.000002,0.037475,0.002439,-0.029614,0.025733,0.030878,0.026854,0.017558,0.050509,0.13298,0.015704,0.25436,0.000015,0.00136,0.019722,4.496954,0.000033,0.026107,-0.011833,0.023917,124,0.004171,0.064817,0.03177,0.059475,20.66958,34.39158,-8.800959,0.49767,79.61,1.35,6337.46,378.08,3.1,7.42,1.74,-0.59,1.82,0.66,2.32,12.66,263.45,0.96,342.39,163.79,244.59,11.09,0.79,2.81,3.27,0.2,28281.17,56.37,0.41,1.65,1.84,258.17,37.21,2.66,2.89,5.78,1.85,2.25,A
0.000004,0.026852,0.000218,1.107045,1.351057,0.4925,-17.24798,-16.44057,-8.41118,8.029389,-49.8508,-10.83763,18.28764,-5.601933,-0.011404,17,-6.076868,-14.51738,330.8067,18.83319,-18.47254,-15.84995,0.058089,-1.457496,0.026976,0.65675,0.172522,0.08873,1.237606,1.50987,0.158133,0.272264,321,1.80761,1.969543,1.941363,2.127122,2.758954,2.47925,2.602652,2.696679,0.001667,0.115,0.171667,115,0.40421,0.133101,134.7597,22193.71,1.537871,59.60146,272.5886,300.4254,27.83685,70.79874,265,0.000079,67,0.153198,3.335544,18.07503,4.255094,2.744903,3.19267,3.18605,4.08811,2.521007,0.025231,3.267421,2.832023,2.363858,4.012136,5.081858,-0.263446,2.410476,22.11861,-2.972415,3.058242,3.085655,16.81235,4.105704,2.939748,30.07113,20.26924,4.504026,-2.399695,4.802952,144,-0.000006,0.03553,0.000015,0.028946,0.001614,-0.025684,0.01625,0.019297,0.03007,0.028216,0.043275,0.124574,0.01332,0.252096,0.000018,0.001589,0.019274,3.50212,-0.000013,0.022771,-0.013,0.023917,129,0.003974,0.063041,0.034328,0.059576,24.45139,38.20414,-12.05993,0.699805,68.52,0.32,4695.13,239.66,1.92,4.93,1.25,-0.11,1.88,0.88,2.02,8.79,206.61,1.01,257.65,249.14,187.47,9.58,0.55,2.37,2.68,0.18,31829.64,63.58,0.28,1.89,2.19,262.13,35.6,1.84,3.33,8.7,2.49,2.11,A
0.000001,0.035127,0.000271,0.62921,1.040839,0.229589,-12.44443,-10.19629,-2.879777,7.316513,-66.14169,-9.510501,21.21277,-6.028149,0.00112,28,-8.286152,-15.69342,308.4715,18.07904,-20.92344,-20.2517,0.029281,-5.110986,0.04453,0.589645,0.180669,0.61427,1.16422,1.430968,0.151397,0.266749,249,1.795517,1.94593,1.9246,2.067057,2.627585,2.445083,2.633839,2.701766,0.000833,0.1025,0.1675,18,0.417077,0.146756,110.7681,17746.84,1.801003,65.61388,228.604,265.6839,37.07986,94.85922,274,0.000045,359,0.050614,3.286307,17.70103,4.208017,2.615276,3.190195,3.068275,3.921612,2.37082,0.034057,3.677961,3.173173,3.341604,3.724998,6.077054,-0.402795,2.359491,24.49811,-3.055305,3.281988,3.076626,14.30799,3.785228,2.525313,23.00106,13.43732,3.666761,-2.279654,4.225839,125,0.000001,0.038524,0.000013,0.040563,0.002838,-0.029882,0.03238,0.030926,0.034168,0.021326,0.05653,0.097985,0.016721,0.226815,0.000005,0.001379,0.022687,3.732688,-0.000008,0.022746,-0.012875,0.023167,62,0.003776,0.061453,0.033475,0.067187,20.73494,32.08406,-9.108876,0.362659,64.46,-0.42,4154.45,151.64,1.24,3.54,1.97,0.11,1.57,-0.37,1.81,5.73,90.1,0.53,86.79,149.85,73.39,3.65,0.23,2.44,1.43,0.16,21280.33,51.03,0.19,1.88,2.49,153.68,1,1.13,3.83,13.42,2.86,1.96,A
