@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-V-R12,26,31,32,48,58,63,69,77,78,82,84,85,90,91,92,122,128,129,130,134,150,166,169,173,177,185,205,217,224,229,234,236,268,278,280,282,287,307,342,365,367,371,392,396,397,405,407,411,414,415,420,435,455,459,465,467,473,474,478,481,490,491,519,525,526,541,557,559,561,565,571,576,579,584,601,607,620,636,641,643,652,656,658,673,759,768,770,771,804,813,837,866,912,960,977,983,996,1000,1007,1014,1015,1030,1035,1051,1057,1061,1071,1087,1100,1109,1118,1119,1122,1127,1157,1167,1168,1194,1196,1206,1220,1224,1226,1234,1236,1238,1239,1247,1248,1250,1260,1264,1270,1277,1309'

@attribute pcm_intensity_sma_skewness numeric
@attribute pcm_loudness_sma_linregc1 numeric
@attribute pcm_loudness_sma_skewness numeric
@attribute pcm_loudness_sma_kurtosis numeric
@attribute mfcc_sma[1]_linregerrQ numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[2]_skewness numeric
@attribute mfcc_sma[3]_max numeric
@attribute mfcc_sma[3]_min numeric
@attribute mfcc_sma[3]_amean numeric
@attribute mfcc_sma[3]_linregc2 numeric
@attribute mfcc_sma[3]_linregerrA numeric
@attribute mfcc_sma[3]_quartile1 numeric
@attribute mfcc_sma[3]_quartile2 numeric
@attribute mfcc_sma[3]_quartile3 numeric
@attribute mfcc_sma[5]_linregc2 numeric
@attribute mfcc_sma[5]_quartile1 numeric
@attribute mfcc_sma[5]_quartile2 numeric
@attribute mfcc_sma[5]_quartile3 numeric
@attribute mfcc_sma[6]_max numeric
@attribute mfcc_sma[6]_iqr1-2 numeric
@attribute mfcc_sma[7]_quartile1 numeric
@attribute mfcc_sma[7]_iqr1-2 numeric
@attribute mfcc_sma[8]_min numeric
@attribute mfcc_sma[8]_amean numeric
@attribute mfcc_sma[8]_quartile1 numeric
@attribute mfcc_sma[9]_quartile2 numeric
@attribute mfcc_sma[10]_linregc2 numeric
@attribute mfcc_sma[10]_quartile2 numeric
@attribute mfcc_sma[11]_max numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute lspFreq_sma[0]_min numeric
@attribute lspFreq_sma[0]_skewness numeric
@attribute lspFreq_sma[0]_quartile1 numeric
@attribute lspFreq_sma[0]_quartile3 numeric
@attribute lspFreq_sma[1]_min numeric
@attribute lspFreq_sma[2]_range numeric
@attribute lspFreq_sma[3]_iqr1-3 numeric
@attribute lspFreq_sma[5]_maxPos numeric
@attribute lspFreq_sma[5]_amean numeric
@attribute lspFreq_sma[5]_linregerrQ numeric
@attribute lspFreq_sma[6]_skewness numeric
@attribute lspFreq_sma[6]_quartile3 numeric
@attribute lspFreq_sma[6]_iqr1-2 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute lspFreq_sma[7]_linregc2 numeric
@attribute lspFreq_sma[7]_skewness numeric
@attribute lspFreq_sma[7]_quartile2 numeric
@attribute lspFreq_sma[7]_quartile3 numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_iqr1-2 numeric
@attribute voiceProb_sma_iqr2-3 numeric
@attribute F0_sma_range numeric
@attribute F0_sma_linregerrA numeric
@attribute F0_sma_stddev numeric
@attribute F0_sma_iqr1-2 numeric
@attribute F0_sma_iqr2-3 numeric
@attribute F0env_sma_range numeric
@attribute F0env_sma_amean numeric
@attribute F0env_sma_quartile2 numeric
@attribute F0env_sma_quartile3 numeric
@attribute pcm_loudness_sma_de_amean numeric
@attribute pcm_loudness_sma_de_skewness numeric
@attribute pcm_loudness_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_linregerrA numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[2]_linregc2 numeric
@attribute mfcc_sma_de[2]_linregerrQ numeric
@attribute mfcc_sma_de[2]_quartile1 numeric
@attribute mfcc_sma_de[3]_max numeric
@attribute mfcc_sma_de[3]_amean numeric
@attribute mfcc_sma_de[3]_linregerrA numeric
@attribute mfcc_sma_de[3]_quartile1 numeric
@attribute mfcc_sma_de[4]_skewness numeric
@attribute mfcc_sma_de[4]_iqr2-3 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_linregerrA numeric
@attribute mfcc_sma_de[6]_quartile1 numeric
@attribute mfcc_sma_de[6]_quartile3 numeric
@attribute mfcc_sma_de[7]_amean numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[7]_skewness numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[12]_iqr2-3 numeric
@attribute lspFreq_sma_de[0]_linregc2 numeric
@attribute lspFreq_sma_de[0]_linregerrQ numeric
@attribute lspFreq_sma_de[0]_stddev numeric
@attribute lspFreq_sma_de[2]_amean numeric
@attribute lspFreq_sma_de[2]_quartile2 numeric
@attribute lspFreq_sma_de[4]_max numeric
@attribute lspFreq_sma_de[5]_stddev numeric
@attribute lspFreq_sma_de[7]_iqr1-3 numeric
@attribute F0_sma_de_linregerrQ numeric
@attribute F0env_sma_de_linregc2 numeric
@attribute F0env_sma_de_quartile1 numeric
@attribute f0skewx numeric
@attribute f0Varx numeric
@attribute f0Ampskewx numeric
@attribute LHmeanx numeric
@attribute LHRate numeric
@attribute LH2skewx numeric
@attribute LH3Minx numeric
@attribute f0deltaskewx numeric
@attribute f0AmpDeltameanx numeric
@attribute f0AmpDeltakurtx numeric
@attribute LHdeltakurtx numeric
@attribute LH3deltameanx numeric
@attribute StepUskewx numeric
@attribute StepOqmeanx numeric
@attribute StepArmsx numeric
@attribute StepAqmeanx numeric
@attribute StepAVarx numeric
@attribute StepU2meanx numeric
@attribute StepOdeltameanx numeric
@attribute StepAdeltameanx numeric
@attribute StepAdeltarmsx numeric
@attribute f0Delta2Maxx numeric
@attribute f0Delta2Rangex numeric
@attribute f0AmpDelta2Rangex numeric
@attribute LHDelta2skewx numeric
@attribute LH2Delta2Maxx numeric
@attribute LH2Delta2Rangex numeric
@attribute LH3Delta2Maxx numeric
@attribute LH3Delta2Rangex numeric
@attribute LH3Delta2rmsx numeric
@attribute LH3Delta2qmeanx numeric
@attribute StepUDelta2meanx numeric
@attribute StepUDelta2rmsx numeric
@attribute StepUDelta2skewx numeric
@attribute StepODelta2skewx numeric
@attribute StepADelta2Maxx numeric
@attribute StepADelta2skewx numeric
@attribute StepU2Delta2meanx numeric
@attribute emotion {A,N,H,S,B,D,F}

@data

1.68839,-0.000014,0.164978,2.374713,99.36683,-18.25507,-59.17477,0.895663,54.55312,-21.97486,9.744853,12.14065,11.42452,-1.103883,7.986475,19.05768,6.498295,-2.766715,11.95802,27.55944,44.32292,13.04123,-11.54897,15.35021,-74.00053,-22.1986,-31.846,-8.775395,-11.80692,-17.4546,58.93046,9.231601,14.94905,0.187376,0.328821,0.383124,0.50488,0.3906,0.563642,0.112368,154,1.662322,0.006784,0.409559,1.989874,0.062581,2.37924,2.400416,0.016409,2.373451,2.469373,0.045,0.035833,0.164503,470.5882,163.1408,179.634,384.1963,26.16013,427.1379,407.8689,410.9308,424.0204,0.000044,0.267263,3.580582,1.594042,-0.000436,-0.188341,5.35775,-0.964475,6.149403,-0.038254,1.818559,-1.43486,0.088255,1.734476,0.505556,3.008623,-2.377656,2.472442,0.061747,19.54946,-0.036885,0.168962,2.427176,-0.000734,0.000621,0.024924,-0.000129,0.000051,0.106778,0.018874,0.051331,1940.273,1.995513,-1.220868,-0.04,2879.24,1.77,5.88,1.48,0.71,531,2.31,-0.86,4.36,10.72,-1316.88,1.11,0.22,15.02,2.81,73576.53,212.05,0.58,0.63,2.35,34.81,106.73,193.86,2.69,145568.38,363541.93,50204.98,143549.96,184.27,1,-29.78,1.51,2.61,2.42,43,2.15,-43.26,A
2.756847,-0.000321,0.236859,2.254051,104.953,0,-39.83847,0.772879,57.95189,-3.829657,22.00181,27.554,13.41273,7.868209,21.47214,34.79481,9.067695,0,9.820087,21.14999,8.722521,9.370838,-0.788833,4.255459,-63.91205,-17.82399,-32.42721,-0.176803,-3.908382,-2.092808,56.40919,2.91889,6.414538,0.055602,-0.04454,0.371827,0.551545,0.494953,0.564084,0.162211,179,1.776844,0.024218,1.349791,2.000301,0.057484,2.38467,2.360559,0.776005,2.321072,2.48024,0,0.062917,0.214032,440.4626,167.0905,177.1395,269.22,121.0239,429.0518,362.3576,368.6196,392.9734,0.00016,0.419082,4.205272,1.29421,-0.067138,-0.206623,6.115673,-0.802974,11.14041,-0.034717,1.698329,-0.971067,-0.35559,1.39228,0.042346,2.230155,-1.455203,1.854906,-0.043262,10.63432,-0.042969,-0.272406,1.573403,0.00278,0.00085,0.029183,-0.000442,0,0.114929,0.017973,0.045202,1233.071,2.086591,-0.670174,-1.19,4917.19,1.91,5.42,0.89,0.91,2062,1.25,2.75,-0.63,1.47,-1699.3,-0.13,0.28,10.81,1.81,50578.04,250.79,-1.51,-8.81,1.6,31.09,86.58,226.76,1.72,147283.47,332394.54,64946.18,194587.96,270.95,57.78,-24.62,1.21,1.56,1.41,24.63,1.37,-49.85,A
1.997779,0.000533,0.229845,2.278368,78.49113,-0.713886,-54.76706,0.962027,65.28793,-12.61902,15.87617,15.93628,12.23598,4.088272,14.36133,25.1719,10.06708,-5.844454,9.141531,26.31995,22.49565,10.56795,-7.751453,10.94158,-69.00129,-24.21819,-35.77413,2.806154,-12.79598,-17.99526,63.59382,8.636788,5.773001,0.153216,-0.649149,0.427958,0.542966,0.416642,0.56717,0.078631,599,1.677835,0.009363,0.068128,2.032015,0.066073,2.360947,2.356656,0.174025,2.352734,2.445113,0.001667,0.030833,0.192517,475.4774,149.9437,174.5893,254.5455,131.0527,426.6023,384.8425,385.3702,405.6324,0.000324,0.451595,4.365904,1.608503,-0.034679,-0.198071,4.745146,-1.146225,12.18502,0.011723,1.825598,-1.341083,-0.413492,1.68223,-0.054789,2.765125,-2.217742,2.387406,0.008318,15.23816,-0.035929,-0.289962,2.128023,0.001449,0.000707,0.026594,0.000352,0.000104,0.136544,0.021667,0.04692,2247.307,1.8724,-1.225165,-0.65,3203.59,2.05,3.67,0.8,1.36,587,1.75,-0.16,3.66,21.15,-1039.84,0.86,0.24,13.29,2.13,67342.19,298.82,0.5,-3.6,1.97,38.54,87.21,201.07,3.21,177370.11,320903.26,46754.2,125728.81,194.23,68.11,-27.02,1.27,2.49,2.34,31.09,2.85,-59.15,A
1.473101,-0.00029,0.125616,2.274761,88.10029,-26.78362,-58.96006,0.820063,47.02032,-22.36012,7.86893,2.408792,11.771,-3.9642,6.149391,18.45913,25.25095,5.571732,19.36344,31.76436,18.46131,13.35011,-16.9203,14.99493,-67.63208,-27.95618,-38.11703,1.073008,-19.82639,-18.55505,58.27187,7.841009,17.53325,0.221198,0.268953,0.42273,0.517246,0.396006,0.465434,0.082263,253,1.686445,0.008877,-0.127444,2.038235,0.085429,2.354926,2.383888,0.148602,2.35168,2.433451,0.058333,0.03375,0.151578,475.3416,122.4393,152.2456,202.0202,24.73361,440.5866,370.1527,378.464,404.8496,0.000842,0.296853,3.510127,1.355858,-0.065135,-0.253359,5.077408,-1.157227,9.463293,-0.09089,1.81725,-1.618529,0.010341,2.038723,-0.174378,2.903001,-2.29979,2.424498,-0.010068,19.25947,-0.738407,-0.434196,2.440614,0.000927,0.000441,0.02101,-0.000597,-0.000529,0.078579,0.020131,0.043184,1623.689,3.672073,-1.221368,2.17,2922.93,2.12,3.28,1.17,1.54,645,2.2,-1.6,5.96,33.31,-2144.81,0.83,0.19,16.1,2.92,81729.02,274.71,-1.57,-2.35,2.22,28.83,93.93,100.67,4.84,45722.7,111163.45,53974.67,134179.74,192.65,69.83,-22.37,0.97,3.52,2.07,56.25,2.9,-57.69,A
4.443654,-0.000086,0.801631,3.902884,205.6167,10.24333,-19.9938,-0.176768,57.35371,-18.89837,20.14494,26.34787,13.71252,4.66587,21.36807,32.82552,-4.24,-7.434671,0,14.0236,12.34705,11.12493,0,8.021411,-96.80735,-39.89453,-55.45752,4.438227,-4.889542,-11.71156,58.30284,3.198084,14.43639,0.03772,0.809031,0.23735,0.418351,0.316081,0.753264,0.238545,167,1.856415,0.014689,1.242096,2.124207,0.062926,2.336316,2.42327,1.469149,2.272443,2.36283,0,0.063333,0.209394,462.1634,133.1482,147.546,171.1488,112.397,456.4842,308.8916,296.6054,381.4198,0.000196,0.235725,4.09625,2.347107,-0.039135,-0.09166,10.12334,-1.864852,12.32192,-0.002609,2.376152,-1.543223,-0.077561,2.0976,-0.006418,2.914015,-1.797837,2.31758,0.029623,16.60604,-0.155334,-0.433883,2.318878,0.001596,0.001344,0.03667,0.000103,0,0.106848,0.022616,0.032362,1448.522,2.202793,-1.472284,0.8,5052.05,2.34,60.96,9.88,2.99,50,1.99,-0.53,9.21,10.94,-2850.26,0.2,0.91,9.19,0.5,55803.72,85.39,-7.16,-3.68,2.53,33.76,89.07,451.39,3.09,437526.21,974787.32,60364.88,203113.53,184.7,43.88,-113.27,4.77,2.75,2.39,59.58,2.52,-19.3,A
2.775073,-0.006245,0.802113,3.431647,263.2516,4.065216,-28.65766,-0.127227,63.59614,-12.45517,25.62809,22.85017,12.9672,14.61078,25.29514,36.04344,-1.456336,-8.466224,1.668544,13.55032,17.87901,7.428883,1.402877,9.078886,-91.10949,-48.6214,-58.59468,-0.023016,-36.08204,-22.29024,32.90944,3.782627,0.010988,0.137323,0.640465,0.247813,0.533617,0.305769,0.649994,0.16155,93,1.793933,0.008836,-0.902205,2.089195,0.049235,2.278314,2.289068,0.818038,2.263484,2.33172,0.0375,0.066667,0.207473,471.3805,126.7954,143.8348,200.4357,100.5193,445.0052,323.3712,326.6405,375.9845,0.000989,-0.09355,3.32706,2.913381,0.173458,0.452647,15.00733,-2.239497,8.929073,0.083108,2.59147,-2.217461,-0.137126,2.091517,-0.084823,2.917935,-2.286759,2.30018,0.150645,11.08792,-0.270555,-0.753929,1.927672,-0.002536,0.002441,0.049449,0.001332,0.001335,0.109353,0.02714,0.032776,1697.798,4.764693,0,0.05,3490.22,2,73.84,9.88,3.34,6,2.43,-2.53,7.7,5.41,-1138.46,0.42,0.4,8.42,0.61,38857.01,62.29,-2.2,-7.27,2.27,22.01,52.68,258.13,2.06,221903.78,429517.82,18636.56,44990.44,84.6,28.43,-88.82,4.18,2.82,2.03,30.32,2.24,-13.7,A
3.175602,0.000635,0.309739,2.721162,185.8762,23.36178,-16.90668,-0.279302,74.2549,-17.77011,19.60423,21.61182,17.13555,1.19085,17.39259,34.32329,0.028887,-11.41026,0,10.59032,25.86971,13.9708,-5.495776,6.35065,-146.5358,-53.60972,-69.60957,4.465591,-14.96333,-13.59007,44.11573,0.623001,2.10744,0.114265,0.489943,0.205728,0.359113,0.227541,0.648972,0.219106,112,1.853038,0.017992,1.173056,2.155298,0.048327,2.375015,2.389491,1.224244,2.317164,2.426302,0.0225,0.042917,0.140006,396.6497,106.6665,123.1495,216.5305,58.15622,331.2405,269.4389,272.8268,309.4725,-0.000505,0.104517,4.170848,2.474137,0.001675,-0.157157,13.09211,-2.060226,9.348033,0.115468,2.961661,-1.845804,-0.218408,1.943153,-0.165392,3.307566,-2.775817,2.59556,0.01734,18.61094,-0.245767,-0.305984,2.079813,0.001068,0.000665,0.025802,0.000041,0,0.119001,0.030114,0.03079,906.7828,2.66419,-1.145614,0.48,2630.01,2.26,77.22,7.55,3.04,1,2.31,-6.37,6.87,7.18,-3740.38,-0.01,0.84,11.91,0.48,102717.98,85.64,-1.04,-5.97,3.28,23.87,57.35,180.98,2.1,240381.46,545363.27,78999.01,232521.47,266.55,30.62,-125.71,4.86,3.63,2.35,93.59,2.44,-19.77,A
3.363722,-0.000942,1.003798,3.33814,249.8455,22.82562,-18.06662,-0.517486,64.05953,-21.61214,22.15006,22.05,13.45927,12.17166,21.69878,33.22123,2.805743,-7.741607,9.917153,19.20736,29.93764,16.90041,-4.433755,17.20988,-123.6414,-33.02352,-51.76312,6.193483,-8.871582,-14.63997,45.05562,2.924187,-1.791751,0.089082,1.21003,0.235918,0.431968,0.227678,0.851638,0.232396,373,1.834474,0.015372,0.133224,2.118394,0.068491,2.374492,2.337263,0.819978,2.340493,2.466847,0.000833,0.0575,0.193655,459.9022,117.5274,140.7341,128.1069,105.2133,368.4527,304.6898,328.058,368.1578,-0.000129,0.453903,4.834081,2.63362,-0.071759,-0.310325,9.275959,-1.738708,10.81086,0.040264,2.602216,-1.929884,0.162671,2.152056,-0.158535,3.353529,-2.534308,2.947682,0.018076,17.96232,-0.010809,0.074983,2.106696,0.001822,0.001445,0.038028,-0.000236,-0.00184,0.114128,0.028826,0.036123,1229.458,1.901016,-1.320795,0.62,3517.26,2.26,60.38,2.33,1.83,1,1.88,-3,5.26,7.25,-4081.34,-0.54,0.87,13.84,0.68,133783.06,131.62,-5.68,-3.86,3.42,26.35,61.38,289.01,2.4,176356.92,426930.82,135331.12,417391.85,499.65,1,-94.54,3.71,2.59,2.07,103.33,2.25,-27.72,A
3.038362,0.000992,0.68733,2.850332,312.3488,48.06436,-12.75503,0.056692,66.29174,-26.80504,22.98358,21.03311,15.66681,1.519701,24.91759,36.53185,23.25182,-4.579037,0.445661,19.67696,5.234679,10.58034,0,3.179789,-101.5109,-42.55823,-58.45766,3.3357,-6.854396,-13.73401,32.5988,3.176317,-1.767258,0.087385,1.043931,0.231233,0.429912,0.232623,0.741683,0.226629,144,1.899785,0.017632,0.847611,2.178409,0.063393,2.395305,2.431874,1.07338,2.316896,2.436062,0.0225,0.104167,0.295432,462.3323,124.0007,145.9851,0,238.3235,393.6215,326.4635,322.7687,399.5317,0.000824,0.097666,4.899143,2.301702,-0.013349,-0.241793,10.02391,-1.549067,10.70061,-0.003856,2.07791,-1.617945,-0.215228,1.257369,-0.772796,2.577857,-1.690165,2.087589,0.066601,9.573891,-0.10209,-0.000607,2.024317,0.001299,0.001317,0.036296,-0.000211,0,0.153414,0.02526,0.025724,1279.274,2.122636,-0.248959,1.05,3572.08,1.93,75.84,8,2.15,1,1.81,2.88,2.05,8.6,1995.6,-0.35,0.92,9.82,0.4,70890.86,97.61,-2.07,-0.43,2.57,30.56,65.37,336.35,2.08,338070.18,841194.69,42152.49,154939,265.93,1,-151.81,6.25,2.15,1.88,56.98,2.12,-19.23,A
