@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-V-R47,48,99,114,137,143,144,148,150,154,188,207,215,216,221,222,261,295,319,333,372,398,456,460,478,565,606,639,732,745,748,770,818,864,889,914,928,947,993,1103,1161,1228,1258,1263,1423,1473,1541,1551,1556,1598,1624,1773,1774,1812,1813,1929,1943,1971,2007,2118,2120,2289,2307,2327,2334,2348,2358,2373,2389,2397,2399,2475,2477,2488,2493,2516,2664,2756,2802,2830,3138,3146,3365,3408,3572,3771,3795,3867,3872,3899,4146,4467,4493,4742,4848,4952,5004,5054,5069,5088,5098,5298,5418,5583,5794,6150,6219,6381,6429,6483,6676,6681,6688,6695,6696,6752,6758,6762,6810,6849,6887,6901,6915,6917,6919,6931,6958,6990'

@attribute mfcc_sma[0]_linregerrA numeric
@attribute mfcc_sma[0]_linregerrQ numeric
@attribute mfcc_sma[1]_quartile2 numeric
@attribute mfcc_sma[1]_nzabsmean numeric
@attribute mfcc_sma[2]_quartile1 numeric
@attribute mfcc_sma[2]_percentile95.0 numeric
@attribute mfcc_sma[2]_percentile98.0 numeric
@attribute mfcc_sma[2]_peakMean numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[2]_nzqmean numeric
@attribute mfcc_sma[3]_peakMeanMeanDist numeric
@attribute mfcc_sma[4]_qregc3 numeric
@attribute mfcc_sma[4]_quartile1 numeric
@attribute mfcc_sma[4]_quartile2 numeric
@attribute mfcc_sma[4]_percentile95.0 numeric
@attribute mfcc_sma[4]_percentile98.0 numeric
@attribute mfcc_sma[5]_percentile98.0 numeric
@attribute mfcc_sma[6]_quartile3 numeric
@attribute mfcc_sma[7]_linregc2 numeric
@attribute mfcc_sma[7]_quartile2 numeric
@attribute mfcc_sma[8]_quartile2 numeric
@attribute mfcc_sma[9]_linregerrA numeric
@attribute mfcc_sma[10]_percentile98.0 numeric
@attribute mfcc_sma[10]_peakMean numeric
@attribute mfcc_sma[11]_qregc1 numeric
@attribute pcm_Mag_melspec_sma[0]_kurtosis numeric
@attribute pcm_Mag_melspec_sma[1]_quartile2 numeric
@attribute pcm_Mag_melspec_sma[2]_centroid numeric
@attribute pcm_Mag_melspec_sma[4]_meanPeakDist numeric
@attribute pcm_Mag_melspec_sma[5]_maxameandist numeric
@attribute pcm_Mag_melspec_sma[5]_linregc2 numeric
@attribute pcm_Mag_melspec_sma[5]_numPeaks numeric
@attribute pcm_Mag_melspec_sma[6]_nzgmean numeric
@attribute pcm_Mag_melspec_sma[8]_linregc1 numeric
@attribute pcm_Mag_melspec_sma[8]_peakMean numeric
@attribute pcm_Mag_melspec_sma[9]_stddev numeric
@attribute pcm_Mag_melspec_sma[9]_peakMean numeric
@attribute pcm_Mag_melspec_sma[10]_qregc2 numeric
@attribute pcm_Mag_melspec_sma[11]_skewness numeric
@attribute pcm_Mag_melspec_sma[14]_qregc2 numeric
@attribute pcm_Mag_melspec_sma[15]_meanPeakDist numeric
@attribute pcm_Mag_melspec_sma[17]_kurtosis numeric
@attribute pcm_Mag_melspec_sma[18]_qregc1 numeric
@attribute pcm_Mag_melspec_sma[18]_centroid numeric
@attribute pcm_Mag_melspec_sma[22]_kurtosis numeric
@attribute pcm_Mag_melspec_sma[23]_meanPeakDist numeric
@attribute pcm_Mag_melspec_sma[25]_quartile1 numeric
@attribute pcm_Mag_melspec_sma[25]_meanPeakDist numeric
@attribute pcm_Mag_melspec_sma[25]_qmean numeric
@attribute pcm_zcr_sma_nzgmean numeric
@attribute voiceProb_sma_iqr1-3 numeric
@attribute pcm_Mag_fband0-650_sma_skewness numeric
@attribute pcm_Mag_fband0-650_sma_kurtosis numeric
@attribute pcm_Mag_fband250-650_sma_skewness numeric
@attribute pcm_Mag_fband250-650_sma_kurtosis numeric
@attribute pcm_Mag_spectralRollOff25.0_sma_skewness numeric
@attribute pcm_Mag_spectralRollOff25.0_sma_peakMeanMeanDist numeric
@attribute pcm_Mag_spectralRollOff50.0_sma_quartile2 numeric
@attribute pcm_Mag_spectralRollOff75.0_sma_skewness numeric
@attribute pcm_Mag_spectralCentroid_sma_qregc3 numeric
@attribute pcm_Mag_spectralCentroid_sma_qregerrQ numeric
@attribute mfcc_sma_de[0]_percentile98.0 numeric
@attribute mfcc_sma_de[1]_linregc1 numeric
@attribute mfcc_sma_de[1]_percentile95.0 numeric
@attribute mfcc_sma_de[1]_amean numeric
@attribute mfcc_sma_de[2]_linregerrA numeric
@attribute mfcc_sma_de[2]_skewness numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[3]_qregc1 numeric
@attribute mfcc_sma_de[3]_skewness numeric
@attribute mfcc_sma_de[3]_quartile1 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[5]_quartile1 numeric
@attribute mfcc_sma_de[5]_peakMean numeric
@attribute mfcc_sma_de[5]_nzabsmean numeric
@attribute mfcc_sma_de[6]_quartile1 numeric
@attribute mfcc_sma_de[10]_qregc3 numeric
@attribute mfcc_sma_de[12]_percentile95.0 numeric
@attribute pcm_Mag_melspec_sma_de[0]_amean numeric
@attribute pcm_Mag_melspec_sma_de[1]_quartile3 numeric
@attribute pcm_Mag_melspec_sma_de[9]_skewness numeric
@attribute pcm_Mag_melspec_sma_de[9]_percentile95.0 numeric
@attribute pcm_Mag_melspec_sma_de[15]_qregc2 numeric
@attribute pcm_Mag_melspec_sma_de[16]_centroid numeric
@attribute pcm_Mag_melspec_sma_de[20]_iqr1-2 numeric
@attribute pcm_Mag_melspec_sma_de[25]_percentile98.0 numeric
@attribute pcm_zcr_sma_de_qregc3 numeric
@attribute F0_sma_de_linregc1 numeric
@attribute F0_sma_de_qregc2 numeric
@attribute F0_sma_de_nzgmean numeric
@attribute pcm_Mag_spectralRollOff25.0_sma_de_qregc3 numeric
@attribute pcm_LOGenergy_sma_de_de_quartile2 numeric
@attribute mfcc_sma_de_de[0]_linregerrA numeric
@attribute mfcc_sma_de_de[6]_iqr1-2 numeric
@attribute mfcc_sma_de_de[9]_qregc3 numeric
@attribute mfcc_sma_de_de[11]_nzgmean numeric
@attribute pcm_Mag_melspec_sma_de_de[0]_qregc3 numeric
@attribute pcm_Mag_melspec_sma_de_de[1]_iqr1-2 numeric
@attribute pcm_Mag_melspec_sma_de_de[1]_nzgmean numeric
@attribute pcm_Mag_melspec_sma_de_de[2]_skewness numeric
@attribute pcm_Mag_melspec_sma_de_de[2]_zcr numeric
@attribute pcm_Mag_melspec_sma_de_de[7]_amean numeric
@attribute pcm_Mag_melspec_sma_de_de[10]_nzabsmean numeric
@attribute pcm_Mag_melspec_sma_de_de[15]_linregc1 numeric
@attribute pcm_Mag_melspec_sma_de_de[20]_quartile3 numeric
@attribute F0env_sma_de_de_percentile98.0 numeric
@attribute pcm_Mag_fband0-650_sma_de_de_skewness numeric
@attribute pcm_Mag_spectralRollOff25.0_sma_de_de_iqr2-3 numeric
@attribute pcm_Mag_spectralRollOff50.0_sma_de_de_amean numeric
@attribute pcm_Mag_spectralRollOff90.0_sma_de_de_linregerrQ numeric
@attribute f0SDev numeric
@attribute f0Varx numeric
@attribute f0Ampskewx numeric
@attribute LHmeanx numeric
@attribute LHRate numeric
@attribute LHdeltakurtx numeric
@attribute LH2deltameanx numeric
@attribute LH2deltakurtx numeric
@attribute StepU2qmeanx numeric
@attribute StepAdeltarmsx numeric
@attribute f0AmpDelta2Rangex numeric
@attribute LHDelta2skewx numeric
@attribute LH3Delta2Maxx numeric
@attribute LH3Delta2Rangex numeric
@attribute LH3Delta2rmsx numeric
@attribute StepUDelta2skewx numeric
@attribute StepU2Delta2meanx numeric
@attribute emotion {A,N,H,S,B,D,F}

@data

3.725289,23.71058,-30.07496,28.9578,-0.875143,16.75321,20.84751,9.980872,4.40264,66.08244,4.023051,3.083042,-1.768535,6.090344,20.648,22.8498,5.131909,8.627429,-11.22543,-10.13064,-5.138782,6.143589,24.25376,12.14638,0.000018,4.418374,921.0433,0.484243,32.34783,72324.97,9727.002,14,7857.76,85.78293,232134.1,119589.4,310013.2,-67.64152,1.683636,334.7829,33.71429,3.961934,-0.730298,0.51217,12.07751,30.86957,1298.925,32.59091,11810510,0.176692,0.374098,4.005457,21.30208,4.005145,21.29882,0.75723,510.1188,1229.167,0.291083,2138.585,206604300,1.948849,0.00023,1.421444,-0.000876,0.850331,-0.229001,-0.019368,0,0.181638,-0.796365,-0.065548,-1.069896,1.9504,1.407333,-1.162798,-0.129246,1.991692,-0.100905,67.85732,-0.061937,38779.26,1.571378,0.984922,18633.33,1307.946,-0.000697,-0.004042,-0.005611,15.88836,-7.382594,-0.008996,0.27923,0.530865,0.021339,0.339173,-0.199901,31.88293,24.93723,-2.322322,0.227333,-4.640638,7682.183,-0.227826,9380.257,1.614066,-1.181873,20.00001,0.100745,3183.546,53.66,2879.24,1.77,5.88,1.48,10.72,-570.56,14.69,1.29,2.35,193.86,2.69,50204.98,143549.96,184.27,2.61,-43.26,A
5.122891,36.71505,-22.50001,23.42343,4.053743,22.46692,24.74176,16.33393,10.55302,205.0465,4.161448,4.046256,0,4.3729,17.28146,20.65193,0.60889,5.61185,-9.877693,-7.187155,-1.653819,4.34139,14.07072,7.360668,-0.000001,10.01235,1019.762,0.462381,51.08333,50760.02,4322.964,8,8869.711,71.25636,129788.5,65167.86,151583.5,-54.47268,2.024083,-382.4695,34.52941,4.653536,2.479244,0.522102,7.336206,88.14286,413.2104,32.05263,11292780,0.293013,0.420717,5.502677,38.24889,5.503181,38.25786,-0.112872,702.719,1708.333,-0.511005,3257.13,774733600,1.837759,0.000174,1.452358,-0.03458,0.788977,-0.446457,-0.014581,-0.000002,-0.241321,-0.641886,-0.793816,-0.748013,1.592056,1.248763,-0.718718,-0.020735,2.981272,-0.025854,79.85185,0.69785,13993.7,-6.845578,-27.38149,21764.23,1275.282,0.004065,-0.004528,-0.007928,12.42486,16.81898,0,0.25533,0.335329,-0.005984,0.301739,-4.054765,30.65335,36.34462,-0.468403,0.326718,1.358355,3279.036,-0.002918,10214.34,1.712166,-3.554437,19.16666,-0.248887,3960.542,70.12,4917.19,1.91,5.42,0.89,1.47,3511.37,1.34,1.44,1.6,226.76,1.72,64946.18,194587.96,270.95,1.56,-49.85,A
3.476309,19.03985,-28.5471,27.1447,1.658044,20.60045,22.68853,13.19445,7.377787,107.8609,6.255413,1.772618,-2.90333,4.116917,21.2075,24.66215,4.800128,6.590925,-6.085529,-12.13002,0.848963,6.457522,23.38805,11.11146,-0.000029,5.071524,1048.589,0.562555,38.52941,77196.87,6148.125,9,10335.33,48.77317,220730.8,118886.9,336662.8,403.1219,1.79833,166.1721,34.65,3.978389,-1.107668,0.577262,6.274989,33.04546,1316.005,26.14815,16381300,0.195699,0.274431,5.688968,45.81841,5.687616,45.80056,0.57371,605.1348,1562.5,0.742547,2437.847,204201600,1.902532,0.000226,1.379344,-0.018378,0.870202,0.222684,0.007028,0,-0.371277,-0.750013,-0.116963,-1.036345,1.736701,1.291231,-1.156881,0.040607,2.225022,0.319356,79.06314,0.846835,36615.59,2.272131,-4.778042,18981.27,1534.149,0.001908,-0.000804,0.00283,18.63576,11.63866,-0.008074,0.305767,0.520616,0.020359,0.325736,1.345897,36.72117,30.56684,-2.48007,0.220452,-7.032105,5841.631,-0.087999,9157.279,1.786163,-3.613191,26.35416,-0.005395,3330.63,56.6,3203.59,2.05,3.67,0.8,21.15,-1653.12,16.25,1.53,1.97,201.07,3.21,46754.2,125728.81,194.23,2.49,-59.15,A
3.601924,21.92085,-30.13087,28.57863,-2.102222,16.6845,19.38114,8.30479,3.613033,66.6144,5.887893,11.06024,1.987183,9.24901,21.89947,24.75471,6.783271,9.535476,-12.93179,-12.94052,-0.379599,5.6631,23.98294,8.625212,-0.000123,3.429107,852.879,0.511807,34.66667,17149.42,5825.961,14,10397.63,-180.1942,177729.8,135704.5,355987.9,249.9212,1.22364,787.5082,32.81818,2.442527,-1.454628,0.471377,4.422878,38.4,1325.572,26.78572,10112230,0.184686,0.369162,5.191342,35.58913,5.191004,35.58437,0.968294,311.7416,1229.167,0.49674,2183.846,102794800,1.688365,0.000509,1.424318,-0.02386,0.849153,0.42072,-0.043848,0.000005,0.101295,-0.842687,-0.594765,-1.034579,1.723252,1.32237,-1.10535,0.129308,2.291105,-2.849516,65.23721,-0.214551,41516.05,37.06516,-8.905875,13686.01,894.5271,0.001757,-0.002155,-0.0458,9.360999,3.681315,-0.005249,0.234996,0.528933,0.024577,0.372945,1.923445,32.58267,24.56665,-1.718069,0.238916,-14.17249,6535.37,0.426849,7643.574,5.605457,-2.245589,16.22396,-0.281199,2819.996,54.06,2922.93,2.12,3.28,1.17,33.31,-836.98,27.73,1.67,2.22,100.67,4.84,53974.67,134179.74,192.65,3.52,-57.69,A
6.298411,57.55237,-10.6725,12.1615,2.006981,22.1644,24.62918,15.44464,9.298539,167.9143,3.736757,-1.657625,-3.96828,0,13.59796,15.51097,0.348366,9.502701,-20.07673,-20.59148,1.199221,6.195995,17.27948,6.509892,0.00005,5.890256,3390.917,0.504552,30.47368,317584.1,32687.67,22,13168.71,83.24979,209572.6,93982.01,286747.9,216.623,3.802682,-46.96357,22.61539,6.634715,0.530006,0.475878,3.972016,34.76471,901.4438,125,127734600,0.172387,0.220002,3.882523,22.10003,3.951414,22.77372,1.17359,1418.148,1052.083,0.620716,2418.824,1062930000,3.34945,0.000084,2.33268,-0.019263,1.133514,-0.542248,-0.001087,-0.000002,-0.090189,-1.003923,-0.325651,-0.900783,2.009456,1.615865,-1.143593,0.042981,3.324495,-2.130365,386.6,1.165441,31627.9,-3.331169,-6.253835,34822.64,1558.234,0.005223,0.000457,0.013346,31.049,14.02087,0,0.475542,0.562092,0.010929,0.402588,3.093937,122.8236,173.3146,-2.730897,0.285481,-1.13764,6053.139,-0.125643,15964.53,2.857095,-1.593942,53.95833,0.064063,16557.52,71.08,5052.05,2.34,60.96,9.88,10.94,-7434.53,17.44,0.16,2.53,451.39,3.09,60364.88,203113.53,184.7,2.75,-19.3,A
6.530685,64.69306,-14.69756,14.82364,7.007524,25.45539,27.96763,20.69226,12.26317,211.4924,6.499416,-1.249803,-4.561255,0.303451,13.71681,14.63396,1.285396,9.319632,-30.45046,-23.8913,-1.364388,5.791626,12.59202,6.118702,0.000383,8.11231,2814.027,0.389801,30,105659.8,25252.63,8,8806.602,-311.8831,154529.1,47705.94,167645.3,-103.2874,2.600497,-271.4284,21.85714,4.780802,-6.92504,0.401021,4.684945,25.5,757.2123,22.14286,9630768,0.139264,0.290836,4.096299,21.21139,4.148593,21.58325,0.913256,1310.426,1234.375,0.475359,1829.776,198592800,4.681766,-0.001474,3.230987,0.08034,1.266125,0.187322,0.045261,-0.000044,-0.062453,-1.176243,-0.544533,-1.099264,1.767822,1.503162,-0.870461,-0.116185,2.70242,0.071538,339.3432,0.268368,24559.57,-163.2557,6.232865,13877.53,1395.615,0.003012,-0.021771,-0.066932,24.60712,20.64866,-0.029362,0.587229,0.446938,0.06602,0.33986,-1.138192,162.3479,157.6921,-0.619295,0.208333,-53.55688,3277.724,3.209343,8761.217,3.023274,-1.494509,52.34375,-0.396894,11427,59.08,3490.22,2,73.84,9.88,5.41,-9462.22,9.9,0.11,2.27,258.13,2.06,18636.56,44990.44,84.6,2.82,-13.7,A
5.80563,49.58216,-8.548389,11.23332,0,25.05133,29.41337,17.29085,8.676184,192.5197,9.290442,3.416646,-7.022181,0,12.51112,13.52758,4.124725,5.196424,-22.54835,-27.99849,1.085898,5.94768,10.79538,5.519922,-0.00012,10.15414,10900.58,0.497997,24.45455,178613.5,46607.39,12,11048.86,118.3717,228387.9,126817.9,391412.5,-181.0052,2.818233,107.0906,34.75,7.891683,1.75607,0.398981,5.502384,20.21428,591.4611,314,888945100,0.13282,0.261877,4.095926,26.14873,4.323499,28.65023,1.559189,1563.391,593.75,1.024723,3599.389,389775000,3.7897,0.000549,2.788766,0.002817,1.450931,-0.55253,0.06554,0.000001,-0.143868,-0.919654,0.059483,-1.339157,2.471652,1.757987,-1.208272,0.11211,3.103293,6.567294,1115.406,0.599843,49933.77,-25.2892,-4.946688,10663.92,4303.145,0.005471,-0.008122,0.016159,23.8134,25.35844,0,0.494048,0.56329,0.068882,0.394544,0.595336,488.519,417.1156,-0.84501,0.230032,1.086239,8535.57,-0.561585,5116.384,3.370884,-2.849838,40.625,-2.266041,17473.07,51.28,2630.01,2.26,77.22,7.55,7.18,-10698.23,7.73,0.1,3.28,180.98,2.1,78999.01,232521.47,266.55,3.63,-19.77,A
6.062776,62.87373,-7.956551,10.11142,4.985844,25.27741,28.25419,16.1131,10.19356,178.2636,5.776727,-2.740584,-4.376057,4.460028,15.67218,19.26364,10.30884,11.45839,-18.36167,-17.92233,1.72256,6.756966,17.59007,5.506923,-0.000057,5.288515,3860.915,0.437847,36.21429,352156.5,39793.19,12,4021.148,-43.9779,275898.6,116330.2,305388.9,163.318,4.230289,-2377.006,53.5,17.17876,0.535595,0.428789,13.03776,28.41176,322.5111,143.6667,930245700,0.092703,0.255751,2.975006,14.04913,3.01627,14.32452,1.193563,1109.302,1156.25,0.610837,2869.485,613673000,4.215973,0.00044,2.184043,-0.034027,1.293826,-0.066545,0.020003,-0.000002,0.148309,-1.264873,0.150844,-1.305121,2.424147,1.668987,-1.108324,0.096109,3.377792,4.039271,364.8629,0.480201,38965.25,-40.39601,-0.297868,16877.15,26030.4,0.002406,-0.002447,-0.007045,22.82145,25.41982,-0.005056,0.549524,0.498404,0.031588,0.334115,3.361814,133.6634,102.6026,-2.27088,0.207477,-1.157027,7170.427,-0.058182,8538.02,3.272253,-2.041144,46.45833,0.202493,12829.03,59.31,3517.26,2.26,60.38,2.33,7.25,-10041.08,5.95,0.2,3.42,289.01,2.4,135331.12,417391.85,499.65,2.59,-27.72,A
8.14498,89.82582,-6.48237,9.77154,0,25.23931,27.36138,22.00669,10.77869,248.6229,3.533806,15.37599,-3.004615,0,21.04768,26.1717,0,6.186815,-16.13429,-23.93061,0.51534,6.203553,12.42363,7.64786,-0.000045,6.613092,4510.104,0.527754,36.22222,359399.7,18741,11,7624.482,7.024159,317902,90684.31,359334.1,23.69237,6.136223,-270.5343,40.66667,7.726156,2.511094,0.456866,10.18256,37.72727,727.1951,295,42422010,0.22722,0.187026,3.831789,21.26313,3.947086,22.27129,0.692792,1587.194,1197.917,0.329181,4473.559,916272100,4.003057,0.000535,2.624372,-0.007863,1.031752,0.113558,-0.001754,0.000005,-0.192086,-0.567568,-0.258229,-0.853345,2.179902,1.552779,-0.699588,-0.006463,3.111171,3.756283,668.0939,0.349291,20477.01,-30.65824,-3.816444,23957.05,2590.985,0.006831,-0.002339,0.010373,28.79786,-15.58515,0,0.452695,0.351604,0.013886,0.430754,-1.821284,195.9828,403.3637,-1.847277,0.302483,-0.603119,5134.478,-0.411145,10881.52,3.093834,-2.159015,64.63541,0.599135,16480.48,59.77,3572.08,1.93,75.84,8,8.6,-532.88,2.02,0.08,2.57,336.35,2.08,42152.49,154939,265.93,2.15,-19.23,A
